# 原文	译文	风险	出现次数	出现于
精神強化のリセットには原点の器が必要です。\\x3cdiv class\\x3d'resetItem pointFrame'\\x3e\\x3cspan class\\x3d'hasIcons'\\x3e\\x3cimg src\\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\\x3e\\x3c/span\\x3e\\x3cspan class\\x3d'itemCount'\\x3e			1	js/chara/CharaEnhancementTree.js
\\x3cp\\x3e精神強化に必要な素材が不足しています。\\x3cp\\x3e\\x3cp class\\x3d'c_red multiCaution'\\x3e※前提条件を含む、			1	js/chara/CharaEnhancementTree.js
マス分の精神強化素材が必要です。			1	js/chara/CharaEnhancementTree.js
の能力解放を行います。\\x3c/br\\x3eよろしいですか？\\x3cp\\x3e\\x3cp class\\x3d'c_red multiCaution'\\x3e※前提条件を含む			1	js/chara/CharaEnhancementTree.js
マスの精神強化が解放されます。			1	js/chara/CharaEnhancementTree.js
\\x3cp\\x3e精神強化に必要な素材が不足しています。			1	js/chara/CharaEnhancementTree.js
の能力解放を行います。\\x3c/br\\x3eよろしいですか？\\x3cp\\x3e			1	js/chara/CharaEnhancementTree.js
精神強化に必要なCCが不足しています。			1	js/chara/CharaEnhancementTree.js
HP最大能力値アップ			1	js/chara/CharaEnhancementTree.js
ATK最大能力値アップ			1	js/chara/CharaEnhancementTree.js
DEF最大能力値アップ			1	js/chara/CharaEnhancementTree.js
Accele性能アップ			1	js/chara/CharaEnhancementTree.js
Blast性能アップ			1	js/chara/CharaEnhancementTree.js
Charge性能アップ			1	js/chara/CharaEnhancementTree.js
のジェム\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3eディスティニージェムが不足しています\\x3c/span\\x3e\\x3cp\\x3e			1	js/chara/CharaEquip.js
イノセント・ジェム			1	js/chara/CharaEquip.js
ジェム		疑似碎片	1	js/chara/CharaEquip.js
を使用して\\x3cbr\\x3e			1	js/chara/CharaEquip.js
を魔力解放します。\\x3cbr\\x3eよろしいですか？\\x3cp\\x3e			1	js/chara/CharaEquip.js
お気に入り			1	js/chara/CharaTop.js
に設定しました。			1	js/chara/CharaTop.js
素材が足りないため強化できません			1	js/chara/CharaComposeAttribute/ComposeAttributeList.js
\\x3cp class\\x3d"text"\\x3eすでに強化済みです\\x3c/p\\x3e			1	js/chara/CharaComposeAttribute/ComposeAttributeList.js
\\x3cp class\\x3d"text"\\x3e強化できる魔力印がありません\\x3c/p\\x3e			1	js/chara/CharaComposeAttribute/ComposeAttributeList.js
で解除されます			1	js/chara/CharaComposeAttribute/ComposeAttributeListModel.js
イラスト			1	js/view/collection/CollectionDetailView.js
APはこれ以上回復できません。\\x3cbr\\x3eクエストをプレイしてAPを消費することで\\x3cbr\\x3e再度回復が可能になります。			1	js/view/user/APPopup.js
クエスト			1	js/view/user/APPopup.js
年末ドリームマギアくじ			1	js/view/user/BannerView.js
\\x3c/p\\x3e当選者につきましては12/30放送予定の年末特別番組\\x3cbr\\x3e「アニメ放送直前SP〜マギレコ夜噺〜」\\x3cbr\\x3eにて発表いたします。			1	js/view/user/BannerView.js
あなたの抽選番号は\\x3cp class\\x3d"c_pink" style\\x3d"width:80%;font-size:30px;margin:20px auto;border:1px solid #CCC;padding:10px 0px;text-align:center"\\x3e			1	js/view/user/BannerView.js
魔法少女について			1	js/view/user/GlobalMenuView.js
魔法少女強化について			1	js/view/user/GlobalMenuView.js
精神強化について			1	js/view/user/GlobalMenuView.js
属性強化について			1	js/view/user/GlobalMenuView.js
ガチャについて			1	js/view/user/GlobalMenuView.js
ミッションについて			1	js/view/user/GlobalMenuView.js
ショップについて			1	js/view/user/GlobalMenuView.js
チームについて			1	js/view/user/GlobalMenuView.js
プレゼントについて			1	js/view/user/GlobalMenuView.js
アイテムについて			1	js/view/user/GlobalMenuView.js
フォローについて			1	js/view/user/GlobalMenuView.js
メモリアセットについて			1	js/view/user/GlobalMenuView.js
ストーリーアーカイブについて			1	js/view/user/GlobalMenuView.js
パトロールについて			1	js/view/user/GlobalMenuView.js
ただいま集計中です。\\x3cbr\\x3e最終結果は			1	js/view/user/GlobalMenuView.js
から確認いただけます。			1	js/view/user/GlobalMenuView.js
ただいま集計中です。\\x3cbr\\x3e後半戦は			1	js/view/user/GlobalMenuView.js
から開始いたします。			1	js/view/user/GlobalMenuView.js
前回集計時の圏内まであと：			1	js/view/user/MyProfilePopup.js
魔法少女　総合戦力について			1	js/view/user/MyProfilePopup.js
コメントを編集しました。			1	js/view/user/MyProfilePopup.js
称号を変更しました			1	js/view/user/MyProfilePopup.js
入力されたシリアルコードに誤りがあります。\\x3cbr\\x3e※シリアルコードは、ー（ハイフン）を除いた12桁の半角英数字です。			1	js/view/config/ConfigTopView.js
入力されたシリアルコードは特典受取り済です。\\x3cbr\\x3e※特典はプレゼントボックスよりお受け取りください。			1	js/view/config/ConfigTopView.js
入力されたシリアルコードは有効期間外です。			1	js/view/config/ConfigTopView.js
シリアルコード			1	js/view/config/ConfigTopView.js
受け取りが完了しました。\\x3cbr\\x3e特典はプレゼントボックスよりお受け取りください。			1	js/view/config/ConfigTopView.js
プレゼントを			1	js/view/present/PresentListPageView.js
件受け取りました			1	js/view/present/PresentListPageView.js
プレゼントを1件受け取りました			1	js/view/present/PresentListPartsView.js
modelがaddされました			1	js/view/quest/PreQuestPopupView.js
modelがremoveされました			1	js/view/quest/PreQuestPopupView.js
魔法少女が選択されていません			1	js/view/quest/PreQuestPopupView.js
日付が変わったため\\x3cbr\\x3e対象のクエストをプレイすることはできません			1	js/view/quest/QuestListPartsView.js
クエストに必要なアイテムは\\x3cbr\\x3eメイン・アナザー・魔法少女・曜日クエストの\\x3cbr\\x3e各クエストで入手できます。			1	js/view/quest/QuestListPartsView.js
クエストに必要なアイテムは\\x3cbr\\x3e『アニメ2nd SEASON』放送期間中\\x3cbr\\x3e毎週土曜日・日曜日に\\x3cbr\\x3eゲームにログインすることで入手できます。			1	js/view/quest/QuestListPartsView.js
アイテムが足りません			1	js/view/quest/QuestListPartsView.js
セクション内に未クリアクエストがあります。選択画面に遷移します。			1	js/view/quest/QuestResultView.js
クエスト結果が正しく取得できませんでした。\\x3cbr\\x3eトップページに戻ります。			1	js/view/quest/QuestResultView.js
\\x3cspan class\\x3d'c_pink popUserName'\\x3e\\x3c/span\\x3eをフォローしました。			1	js/view/quest/QuestResultView.js
このストーリーは再挑戦できません。			1	js/view/quest/QuestSectionListPartsView.js
全てのクエストをクリアしています。			1	js/view/quest/SubQuestView.js
BPを回復しました。			1	js/view/arena/ArenaBpCureView.js
\\x3cbr\\x3e\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e※演習を行うにはBPを1以上所持している必要があります。\\x3c/span\\x3e			1	js/view/arena/ArenaConfirmView.js
BPを1消費して対戦相手を変更しますか？\\x3cbr\\x3e(対戦相手の再抽選まであと			1	js/view/arena/ArenaFreeRankView.js
\\x3cli class\\x3d"nomatch"\\x3e現在対戦可能な相手がいません\\x3cbr\\x3eしばらくしてから再度来場ください\\x3c/li\\x3e			1	js/view/arena/ArenaFreeRankView.js
リプレイのバージョンが古いため、再生できません。			1	js/view/arena/ArenaHistoryView.js
リプレイIDをコピーしました。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cdl class\\x3d'colWrap common_dl'\\x3e\\x3cdt class\\x3d'colLeft'\\x3eリプレイID\\x3c/dt\\x3e\\x3cdd class\\x3d'colRight'\\x3e\\x3cspan class\\x3d'black'\\x3e			1	js/view/arena/ArenaHistoryView.js
リプレイIDを正しく入力してください			1	js/view/arena/ArenaHistoryView.js
<p class="nomatch commonFrame4">現在対戦可能な相手がいません<br>しばらくしてから再度来場ください</p>		HTML片段	1	js/view/arena/ArenaRankingView.js
チーム力順			1	js/view/arena/ArenaSimulateView.js
プレーヤー名順			1	js/view/arena/ArenaSimulateView.js
ミラーズIDを正しく入力してください			1	js/view/arena/ArenaSimulateView.js
ミラーズID対戦			1	js/view/arena/ArenaSimulateView.js
\\x3cli class\\x3d"nomatch"\\x3e対戦可能な相手が存在しません\\x3cbr\\x3e\\x3cbr\\x3eミラーズ解放済みの相手と戦うことができます\\x3c/li\\x3e			1	js/view/arena/ArenaSimulateView.js
ミラーズイベント			1	js/view/arena/ArenaTopView.js
ミラーズイベントは現在開催しておりません。\\x3cbr\\x3e次回開催をお待ちください。			1	js/view/arena/ArenaTopView.js
本日分の対戦回数の上限に達しています。\\x3cbr\\x3e対戦回数は16:00にリセットされます。			1	js/view/arena/ArenaTopView.js
本日分の対戦回数の上限に達しています。\\x3cbr\\x3e本戦は			1	js/view/arena/ArenaTopView.js
本戦の対戦回数の上限に達しています。\\x3cbr\\x3e結果発表をお待ちください。			1	js/view/arena/ArenaTopView.js
現在、ミラーズランキングの結果集計中です。\\x3cbr\\x3e集計中はミラーズバトルはプレイできません。\\x3cbr\\x3e本戦は			1	js/view/arena/ArenaTopView.js
ミラーズランキングは現在開催しておりません。\\x3cbr\\x3e次回開催をお待ちください。			1	js/view/arena/ArenaTopView.js
前日の防衛ボーナス			1	js/view/arena/ArenaTopView.js
・ストーリー解放条件			1	js/view/arena/ArenaTopView.js
ブロック			1	js/view/follow/FollowTopView.js
検索条件が入力されていません。			1	js/view/follow/FollowTopView.js
メインストーリー2章を\\x3cbr\\x3eクリアすることで解放されます。			1	js/view/mission/MissionTopListView.js
\\x3cspan\\x3eドッペル解放\\x3cbr\\x3eチャレンジ\\x3c/span\\x3e			1	js/view/mission/MissionTopView.js
ドッペル解放チャレンジ			1	js/view/mission/MissionTopView.js
\\x3cspan\\x3eスタンプカード\\x3c/span\\x3e			1	js/view/mission/MissionTopView.js
スタンプカード			1	js/view/mission/MissionTopView.js
現在、以下のメモリアを選択しています。\\x3cbr\\x3e\\x3cdiv id\\x3d'pieceImgList' class\\x3d'commonFrame2'\\x3e			1	js/view/gacha/GachaBtnView.js
)\\x3c/span\\x3eを選択しています。\\x3cbr\\x3e			1	js/view/gacha/GachaBtnView.js
\\x3c/span\\x3eを選択しています。\\x3cbr\\x3e			1	js/view/gacha/GachaBtnView.js
1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自動設定\\x3c/div\\x3e			1	js/view/gacha/GachaBtnView.js
1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv class\\x3d'gachaAttentionArea commonFrame3'\\x3e本日、\\x3cspan class\\x3d'c_pink'\\x3e残り			1	js/view/gacha/GachaBtnView.js
回無料\\x3c/span\\x3eでガチャを行うことができます\\x3c/div\\x3e\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自動設定\\x3c/div\\x3e			1	js/view/gacha/GachaBtnView.js
期間外のため\\x3cbr\\x3e対象のガチャは存在しません			1	js/view/gacha/GachaTopView2.js
サポート Pt			1	js/view/gacha/GachaTopView2.js
\\x3cp class\\x3d"noItems"\\x3e素材を所持していません\\x3c/p\\x3e			1	js/view/item/ItemListView.js
ありがとうございます。\\x3cbr\\x3e年齢認証が完了しました。\\x3cbr\\x3e引き続きゲームをお楽しみください。			1	js/view/purchase/PurchasePopup.js
年齢認証が必要です			1	js/view/purchase/PurchasePopup.js
このアイテムは現在購入できません。\\x3cbr\\x3e少し時間を空けてから、\\x3cbr\\x3eアプリの再起動をお試しください。			1	js/view/purchase/PurchasePopupPartView.js
プロフィールON			1	js/view/chara/CharaDetailView.js
プロフィールOFF			1	js/view/chara/CharaDetailView.js
期間外のため\\x3cbr\\x3e対象のアイテムを購入することはできません			1	js/view/shop/ShopPopupView.js
購入可能上限に達しています。			1	js/view/shop/ShopPopupView.js
マギアストーン(有償)			1	js/view/shop/ShopPopupView.js
購入に必要なアイテム			1	js/view/shop/ShopPopupView.js
が\\x3cbr\\x3e不足しています。			1	js/view/shop/ShopPopupView.js
購入個数を選択してください。			1	js/view/shop/ShopPopupView.js
限界突破済のメモリアが含まれています。\\x3cbr\\x3eよろしいですか？			1	js/view/memoria/MemoriaComposeTopCardListView.js
カースチップが不足しています。			1	js/view/memoria/MemoriaComposeTopView.js
素材が選択されていません			1	js/view/memoria/MemoriaComposeTopView.js
対象が選択されていません			1	js/view/memoria/MemoriaComposeTopView.js
保管庫に送る			1	js/view/memoria/PieceArchiveView.js
一覧に送る			1	js/view/memoria/PieceArchiveView.js
強化するメモリアを選んでください			1	js/view/memoria/UserMemoriaListView.js
限界突破するメモリアを選んでください			1	js/view/memoria/UserMemoriaListView.js
ロック/解除するメモリアを選んでください			1	js/view/memoria/UserMemoriaListView.js
詳細を確認するメモリアを選んでください			1	js/view/memoria/UserMemoriaListView.js
売却するメモリアを選んでください			1	js/view/memoria/UserMemoriaListView.js
売却するメモリアが選択されていません。			1	js/view/memoria/UserMemoriaListView.js
売却しました			1	js/view/memoria/UserMemoriaListView.js
メモリアセット編集の終了			1	js/memoria/MemoriaEquip.js
メモリアセットの内容が変更されています。			1	js/memoria/MemoriaEquip.js
メモリア装備確認			1	js/memoria/MemoriaEquip.js
メモリアの装備の内容が変更されています。			1	js/memoria/MemoriaEquip.js
変更を破棄して編成に戻る			1	js/memoria/MemoriaEquip.js
変更を保持して編成に戻る			1	js/memoria/MemoriaEquip.js
このメモリアは既に他のセットへ登録中です。\\x3cbr\\x3eセット登録しますか？			1	js/memoria/MemoriaEquip.js
メモリアロック解除			1	js/memoria/MemoriaPopup.js
イベント期間中にこのメモリアのロックを\\x3cbr\\x3e解除することはできません。			1	js/memoria/MemoriaPopup.js
レンタルメモリアセット			1	js/memoria/MemoriaSetEquip.js
」を上書きします。\\x3c/br\\x3e			1	js/memoria/MemoriaSetEquip.js
メモリアセット上書き確認			1	js/memoria/MemoriaSetEquip.js
よろしいですか？\\x3c/p\\x3e			1	js/memoria/MemoriaSetEquip.js
\\x3cp\\x3e現在の装備メモリアの代わりに、\\x3c/br\\x3e			1	js/memoria/MemoriaSetEquip.js
\\x3cp\\x3e現在の装備メモリアをはずして、\\x3c/br\\x3e			1	js/memoria/MemoriaSetEquip.js
メモリアセット確認			1	js/memoria/MemoriaSetEquip.js
装備したいセットを選んでください			1	js/memoria/MemoriaSetEquip.js
登録したいセットを選んでください			1	js/memoria/MemoriaSetEquip.js
よろしいですか？\\x3c/p\\x3e\\x3cp class\\x3d"c_red"\\x3e※現在装備しているメモリアのレンタルを外すと\\x3c/br\\x3e元のメモリアを装備した状態になります。\\x3c/p\\x3e			1	js/memoria/MemoriaSetEquip.js
よろしいですか？\\x3c/p\\x3e\\x3cp class\\x3d"c_red"\\x3e※同じチームの魔法少女が装備しているメモリアが含まれる場合、\\x3c/br\\x3e自動的にその魔法少女から装備がはずされます。\\x3c/p\\x3e			1	js/memoria/MemoriaSetEquip.js
殲滅戦のチームに編成されていない、\\x3cbr\\x3e★4または★5まで覚醒済みの魔法少女が、\\x3cbr\\x3e1体以上編成されているチームを選択してください。			1	js/formation/DeckFormation.js
鏡の魔女との戦いに編成されていない魔法少女が、\\x3cbr\\x3e1体以上編成されているチームを選択してください。			1	js/formation/DeckFormation.js
人未満の魔法少女の\\x3cbr\\x3e編成である必要があります。			1	js/formation/DeckFormation.js
\\x3c/span\\x3eを\\x3cspan class\\x3d'c_pink'\\x3e			1	js/formation/DeckFormation.js
\\x3c/span\\x3eへコピーしました。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e決定ボタンをタップすることで確定されます。\\x3c/span\\x3e			1	js/formation/DeckFormation.js
属性は最低１種類選ぶ必要があります。			1	js/formation/DeckFormation.js
選んだ属性の魔法少女を所持していないため\\x3cbr\\x3e編成することができません。			1	js/formation/DeckFormation.js
この編成を殲滅戦の編成にコピーします。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d"c_red"\\x3e※★4まで覚醒していない魔法少女、\\x3cbr\\x3e殲滅戦のチームに編成に編成されている魔法少女は\\x3cbr\\x3eコピーされません。\\x3c/span\\x3e			1	js/formation/DeckFormation.js
この編成をコピーします。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d"c_red"\\x3e※鏡の魔女との戦いに編成されている\\x3cbr\\x3e魔法少女はコピーされません。\\x3c/span\\x3e			1	js/formation/DeckFormation.js
サポートチーム			1	js/formation/DeckFormationUtil.js
ミラーズチーム			1	js/formation/DeckFormationUtil.js
イベントミラーズチーム			1	js/formation/DeckFormationUtil.js
レベル40未満の魔法少女がチームに含まれています。			1	js/formation/DeckFormationUtil.js
チーム変更			1	js/formation/FormationQuest.js
』を解散します。\\x3cbr\\x3eよろしいですか？			1	js/formation/FormationQuest.js
イベントのチーム			1	js/formation/FormationQuest.js
ミラーズのチーム			1	js/formation/FormationQuest.js
クエストスタート:			1	js/formation/FormationQuest.js
サポート変更確認			1	js/formation/FormationSupport.js
サポートが変更されています。			1	js/formation/FormationSupport.js
サポート設定をリセットします。\\x3cbr\\x3eよろしいですか？			1	js/formation/FormationSupport.js
次回開催をお待ちください			1	js/regularEvent/RegularEventTop.js
タップで最終ランキングページへ移動します			1	js/regularEvent/RegularEventTop.js
ステージの攻略中を中断して、トップ画面に戻ります。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e※クエストの攻略状態は保存されません。\\x3c/span\\x3e			1	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js
魔法少女の編成が完了いたしました。\\x3cbr\\x3e\\x3cbr\\x3e\\x3cdiv class\\x3d'c_red'\\x3e※メモリアは特別な効果があるものが\\x3cbr\\x3e優先的に装備されます。\\x3c/div\\x3e			1	js/regularEvent/extermination/RegularEventExterminationFormation.js
制圧中の編成以外を以下の編成へと入れ替えます。よろしいですか？\\x3cbr\\x3e\\x3cdiv class\\x3d'c_red'\\x3e※メモリアは特別な効果があるものが優先的に装備されます。\\x3c/div\\x3e\\x3cdiv id\\x3d'autoFormationContainer'\\x3e\\x3c/div\\x3e			1	js/regularEvent/extermination/RegularEventExterminationFormation.js
各メモリア			1	js/regularEvent/extermination/RegularEventExterminationFormation.js
殲滅戦には専用の編成が必要です。\\x3cbr\\x3eクエスト編成をコピーして殲滅戦の編成を行いますか？			1	js/regularEvent/extermination/RegularEventExterminationFormation.js
ステージ			1	js/regularEvent/extermination/RegularEventExterminationTop.js
へ再度挑戦します。\\x3cbr\\x3eよろしいですか？			1	js/regularEvent/extermination/RegularEventExterminationTop.js
\\x3cbr\\x3eに解放			1	js/regularEvent/extermination/RegularEventExterminationTop.js
クリア\\x3cbr\\x3eで解放			1	js/regularEvent/extermination/RegularEventExterminationTop.js
殲滅戦に参加するには\\x3cbr\\x3e★4以上の魔法少女が\\x3cspan class\\x3d'c_red'\\x3e5\\x3c/span\\x3e体必要です。			1	js/regularEvent/extermination/RegularEventExterminationTop.js
他の結界を\\x3cspan class\\x3d'attention'\\x3e全て制圧すると挑戦\\x3c/span\\x3eできます。			1	js/regularEvent/extermination/view/RegularEventExterminationBattleSelectStagePartsView.js
所属勢力の詳細			1	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js
所属勢力の決定			1	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js
でグループBATTLEを開始します。<br>よろしいですか？<br><br><p class='c_red'>※所属勢力は次回開催まで変更できません。</p>		HTML片段	1	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js
開始する			1	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js
所属グループ決定			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
\\x3cp class\\x3d'noLog ts_white'\\x3e該当するログがありません\\x3c/p\\x3e			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
チームコピー確認			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
該当の魔法少女が１体もいないため、コピーできません			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
チーム４に編成をコピーします。\\x3cbr\\x3e編成画面に移動した段階ではまだ保存されていません。\\x3cbr\\x3e所持していない魔法少女・魔法陣形はコピーされません。			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
件受け取りました。\\x3cbr\\x3e\\x3cbr\\x3e※受け取ったアイテムは直接付与されています。			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
グレード報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
グループ撃退数報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
デイリーダメージ報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
グループランキング報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
所属グループ報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
グループ内ランキング報酬			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
グループ名の変更が完了しました。			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
に終了しました。			1	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
前日の結果			1	js/regularEvent/groupBattle/view/BossPageView.js
マミ		疑似碎片	1	js/regularEvent/groupBattle/view/BossPageView.js
きらり		疑似碎片	1	js/regularEvent/groupBattle/view/BossPageView.js
さやか		疑似碎片	1	js/regularEvent/groupBattle/view/BossPageView.js
いろは・やちよ			1	js/regularEvent/groupBattle/view/BossPageView.js
ほむら		疑似碎片	1	js/regularEvent/groupBattle/view/BossPageView.js
まどか		疑似碎片	1	js/regularEvent/groupBattle/view/BossPageView.js
本日の挑戦回数が残っていません。\\x3cbr\\x3e\\x3cbr\\x3e毎日16:00に挑戦回数が回復します。\\x3cbr\\x3e\\x3cp class\\x3d'c_red'\\x3e※模擬戦では何度でもバトルすることができます。\\x3c/p\\x3e			1	js/regularEvent/groupBattle/view/BossPageView.js
\\x3cp class\\x3d'noLog ts_white'\\x3eランキング集計中\\x3c/p\\x3e			1	js/regularEvent/groupBattle/view/RankingPageView.js
ターン情報			1	js/regularEvent/groupBattle/view/ResultPageView.js
\\x3c/span\\x3eに「いいね」をしました！\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3eMPを			1	js/regularEvent/groupBattle/view/UserPageView.js
獲得しました。\\x3c/span\\x3e\\x3cbr\\x3e※獲得したMPはバトルに引き継がれます。			1	js/regularEvent/groupBattle/view/UserPageView.js
\\x3c/span\\x3eに「いいね」します！\\x3cbr\\x3e\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e※いいねは1日			1	js/regularEvent/groupBattle/view/UserPageView.js
回できます。\\x3c/span\\x3e			1	js/regularEvent/groupBattle/view/UserPageView.js
\\x3cp class\\x3d"noRank ts_white"\\x3eランキングは現在集計中です。\\x3cbr\\x3eランキングは毎日16時に更新されます。\\x3c/p\\x3e			1	js/regularEvent/groupBattle/view/UserPageView.js
バトル ミュージアム			1	js/regularEvent/accomplish/RegularEventAccomplishTop.js
バトルに参加するには\\x3cbr\\x3eレベル40以上の魔法少女が\\x3cspan class\\x3d'c_red'\\x3e1\\x3c/span\\x3e体以上必要です。			1	js/regularEvent/accomplish/RegularEventAccomplishTop.js
すでにイベント期間に回復済です。			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
回復可能な魔法少女がいません。			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
全てのステージをクリア済です。			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
全ての魔法少女のHPを回復します。			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
全ての魔法少女のHPを回復しました			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
\\x3cdiv id\\x3d"cautionWrap" class\\x3d"flexBox se_tabs"\\x3e\\x3cdiv class\\x3d"checkBox"\\x3e\\x3c/div\\x3e\\x3cdiv\\x3e\\x3cdiv class\\x3d"c_red"\\x3eイベント期間中一度しか回復できません。\\x3c/div\\x3e本当に回復しますか。\\x3c/div\\x3e\\x3c/div\\x3e			1	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js
新しいバージョンがあります。ストアで最新版をダウンロードしてください。			1	template/top/NewVersionRecommend.html
ストアに最新版が公開されていない場合は暫くお待ちください。			1	template/top/NewVersionRecommend.html
アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。			1	template/top/NewVersionRecommend.html
ダウンロードへ			1	template/top/NewVersionRecommend.html
現在のバージョン:			1	template/top/NewVersionRecommend.html
最新のバージョン:			1	template/top/NewVersionRecommend.html
第2部OPムービー			1	template/top/TopPage.html
プレイヤーID：			1	template/top/TopPage.html
引き継ぎ・連携ID			1	template/top/TopPage.html
パスワード			1	template/top/TopPage.html
※パスワードは8文字以上15文字以内です			1	template/top/TopPage.html
データの引き継ぎ・連携元となる引き継ぎ・連携IDと設定したパスワードを入力するとデータの引き継ぎ・連携が完了します。			1	template/top/TopPage.html
第1章3話のストーリーにて、プレイヤー名入力が完了しませんでした。			1	template/top/TopPage.html
※後から変更可能です（当日中の変更はできません）			1	template/top/TopPage.html
※第1章3話のストーリーはアーカイブから参照できます			1	template/top/TopPage.html
次回のミッション追加は			1	template/campaign/summer_mission/CampaignSummerMissionTop.html
です		疑似碎片	1	template/campaign/summer_mission/CampaignSummerMissionTop.html
受け取り期限			1	template/campaign/summer_mission/CampaignSummerMissionTop.html
より		疑似碎片	1	template/campaign/quiz/CampaignQuizTop.html
結果をツイートする			1	template/campaign/quiz/CampaignQuizTop.html
※報酬は直接付与されます			1	template/campaign/quiz/CampaignQuizTop.html
クイズトップへ			1	template/campaign/quiz/CampaignQuizTop.html
ボックス			1	template/campaign/box_gacha/CampaignBoxGachaTop.html
各ボックス内の目玉報酬を獲得すると、次のボックスへの切り替えが可能になります。			1	template/campaign/box_gacha/CampaignBoxGachaTop.html
回ガチャ			1	template/campaign/box_gacha/CampaignBoxGachaTop.html
を引きます。			1	template/campaign/box_gacha/CampaignBoxGachaTop.html
もう一回引く			1	template/campaign/box_gacha/CampaignBoxGachaTop.html
FAQ/お問い合わせサイト			1	template/etc/Help.html
あなたのプレイヤーIDは&nbsp;			1	template/etc/Help.html
&nbsp;です			1	template/etc/Help.html
プレイヤーIDをコピーする			1	template/etc/Help.html
まで&nbsp;▼			1	template/user/AnnounceTemp.html
アカウント停止			1	template/user/Ban.html
このたび、お客様のアカウントにおきまして、以下のいずれかの行為が確認されたため、運営の判断によりアカウントを停止いたしました。			1	template/user/Ban.html
【対象となる行為】			1	template/user/Ban.html
・利用規約に違反する行為。		法条勿动	1	template/user/Ban.html
・過度の連続アクセスにより、サーバーに負担をかける行為。			1	template/user/Ban.html
・不正アクセスを行い本サービス、または他ユーザー様に不利益を与える行為。			1	template/user/Ban.html
・本サービスにおいて誹謗中傷など他ユーザー様に不快感を与える行為。			1	template/user/Ban.html
・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。			1	template/user/Ban.html
無期限停止措置を行ったアカウントにつきましては、今後ご利用いただくことは出来ません。			1	template/user/Ban.html
※本件に関するお問い合わせにつきましては、上記の報告をもって回答と代えさせていただきます。			1	template/user/Ban.html
キモチ戦　戦績			1	template/user/EventRecord.html
デイリーダメージエンブレム			1	template/user/EventRecord.html
「マギアレコード 魔法少女まどか☆マギカ外伝」を			1	template/user/ReviewPopTemp.html
遊んでいただき誠にありがとうございます。			1	template/user/ReviewPopTemp.html
ランク10到達を記念してマギアストーン25個を			1	template/user/ReviewPopTemp.html
プレゼントいたします。			1	template/user/ReviewPopTemp.html
よろしければこれまでの感想をお聞かせいただけると幸いです。			1	template/user/ReviewPopTemp.html
レビューする			1	template/user/ReviewPopTemp.html
